source_order,column,family,meaning,causal_availability,fold_local_selection
0,dataset,key,row identity,index only; never a learned numeric input,identity only
237,tf_r128_cur_v_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
238,tf_r128_cur_u_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
239,tf_r128_cur_v_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
240,tf_r128_cur_u_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
241,tf_r128_cur_v_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
242,tf_r128_cur_u_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
243,tf_r128_cur_v_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
244,tf_r128_cur_mag_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
245,tf_r128_cur_mag_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
246,tf_r128_cur_mag_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
247,tf_r128_cur_mag_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
248,tf_r128_cur_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
249,tf_r128_cur_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
250,tf_r128_cur_own_minus_mean_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
251,tf_r128_cur_own_minus_mean_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
252,tf_r128_cur_own_minus_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
253,tf_r128_cur_own_minus_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
254,tf_r128_cur_proj_own_dir,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
255,tf_r128_cur_proj_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
256,tf_r128_cur_cos_to_own,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
257,tf_r128_cur_div_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
258,tf_r128_cur_div_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
259,tf_r128_cur_div_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
260,tf_r128_cur_div_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
261,tf_r128_cur_curl_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
262,tf_r128_cur_curl_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
263,tf_r128_cur_curl_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
264,tf_r128_cur_curl_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
265,tf_r128_cur_shear1_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
266,tf_r128_cur_shear1_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
267,tf_r128_cur_shear1_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
268,tf_r128_cur_shear1_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
269,tf_r128_cur_shear2_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
270,tf_r128_cur_shear2_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
271,tf_r128_cur_shear2_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
272,tf_r128_cur_shear2_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
273,tf_r128_cur_front_back_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
274,tf_r128_cur_front_back_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
275,tf_r128_cur_front_back_proj,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
276,tf_r128_cur_front_back_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
277,tf_r128_prev_u_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
278,tf_r128_prev_v_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
279,tf_r128_prev_u_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
280,tf_r128_prev_v_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
281,tf_r128_prev_u_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
282,tf_r128_prev_v_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
283,tf_r128_prev_u_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
284,tf_r128_prev_v_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
285,tf_r128_prev_mag_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
286,tf_r128_prev_mag_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
287,tf_r128_prev_mag_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
288,tf_r128_prev_mag_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
289,tf_r128_prev_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
290,tf_r128_prev_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
291,tf_r128_prev_own_minus_mean_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
292,tf_r128_prev_own_minus_mean_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
293,tf_r128_prev_own_minus_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
294,tf_r128_prev_own_minus_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
295,tf_r128_prev_proj_own_dir,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
296,tf_r128_prev_proj_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
297,tf_r128_prev_cos_to_own,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
298,tf_r128_prev_div_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
299,tf_r128_prev_div_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
300,tf_r128_prev_div_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
301,tf_r128_prev_div_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
302,tf_r128_prev_curl_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
303,tf_r128_prev_curl_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
304,tf_r128_prev_curl_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
305,tf_r128_prev_curl_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
306,tf_r128_prev_shear1_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
307,tf_r128_prev_shear1_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
308,tf_r128_prev_shear1_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
309,tf_r128_prev_shear1_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
310,tf_r128_prev_shear2_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
311,tf_r128_prev_shear2_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
312,tf_r128_prev_shear2_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
313,tf_r128_prev_shear2_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
314,tf_r128_prev_front_back_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
315,tf_r128_prev_front_back_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
316,tf_r128_prev_front_back_proj,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
317,tf_r128_prev_front_back_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
318,tf_r256_cur_u_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
319,tf_r256_cur_v_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
320,tf_r256_cur_u_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
321,tf_r256_cur_v_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
322,tf_r256_cur_u_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
323,tf_r256_cur_v_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
324,tf_r256_cur_u_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
325,tf_r256_cur_v_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
326,tf_r256_cur_mag_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
327,tf_r256_cur_mag_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
328,tf_r256_cur_mag_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
329,tf_r256_cur_mag_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
330,tf_r256_cur_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
331,tf_r256_cur_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
332,tf_r256_cur_own_minus_mean_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
333,tf_r256_cur_own_minus_mean_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
334,tf_r256_cur_own_minus_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
335,tf_r256_cur_own_minus_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
336,tf_r256_cur_proj_own_dir,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
337,tf_r256_cur_proj_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
338,tf_r256_cur_cos_to_own,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
339,tf_r256_cur_div_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
340,tf_r256_cur_div_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
341,tf_r256_cur_div_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
342,tf_r256_cur_div_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
343,tf_r256_cur_curl_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
344,tf_r256_cur_curl_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
345,tf_r256_cur_curl_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
346,tf_r256_cur_curl_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
347,tf_r256_cur_shear1_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
348,tf_r256_cur_shear1_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
349,tf_r256_cur_shear1_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
350,tf_r256_cur_shear1_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
351,tf_r256_cur_shear2_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
352,tf_r256_cur_shear2_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
353,tf_r256_cur_shear2_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
354,tf_r256_cur_shear2_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
355,tf_r256_cur_front_back_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
356,tf_r256_cur_front_back_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
357,tf_r256_cur_front_back_proj,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
358,tf_r256_cur_front_back_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
359,tf_r256_prev_u_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
360,tf_r256_prev_v_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
361,tf_r256_prev_u_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
362,tf_r256_prev_v_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
363,tf_r256_prev_u_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
364,tf_r256_prev_v_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
365,tf_r256_prev_u_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
366,tf_r256_prev_v_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
367,tf_r256_prev_mag_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
368,tf_r256_prev_mag_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
369,tf_r256_prev_mag_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
370,tf_r256_prev_mag_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
371,tf_r256_prev_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
372,tf_r256_prev_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
373,tf_r256_prev_own_minus_mean_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
374,tf_r256_prev_own_minus_mean_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
375,tf_r256_prev_own_minus_center_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
376,tf_r256_prev_own_minus_center_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
377,tf_r256_prev_proj_own_dir,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
378,tf_r256_prev_proj_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
379,tf_r256_prev_cos_to_own,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
380,tf_r256_prev_div_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
381,tf_r256_prev_div_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
382,tf_r256_prev_div_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
383,tf_r256_prev_div_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
384,tf_r256_prev_curl_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
385,tf_r256_prev_curl_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
386,tf_r256_prev_curl_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
387,tf_r256_prev_curl_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
388,tf_r256_prev_shear1_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
389,tf_r256_prev_shear1_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
390,tf_r256_prev_shear1_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
391,tf_r256_prev_shear1_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
392,tf_r256_prev_shear2_mean,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
393,tf_r256_prev_shear2_std,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
394,tf_r256_prev_shear2_median,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
395,tf_r256_prev_shear2_p90,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
396,tf_r256_prev_front_back_u,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
397,tf_r256_prev_front_back_v,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
398,tf_r256_prev_front_back_proj,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
399,tf_r256_prev_front_back_tangent,tissue_flow,causal tissue-flow and temporal-flow summary,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
400,dx_px,completed_motion,last completed displacement,available at issue frame t,eligible; variance filtering and quotas fit on training movies only
401,dy_px,completed_motion,last completed displacement,available at issue frame t,eligible; variance filtering and quotas fit on training movies only
402,QUALITY,tracking_quality,source tracking quality,available at issue frame t,eligible; variance filtering and quotas fit on training movies only
403,obs_boundary_dist,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
404,obs_boundary_normal_x,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
405,obs_boundary_normal_y,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
406,obs_boundary_tangent_x,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
407,obs_boundary_tangent_y,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
408,obs_boundary_radial,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
409,obs_boundary_self_front,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
410,obs_boundary_self_tangent,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
411,obs_boundary_edge_balance,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
412,obs_knn_nearest_dist,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
413,obs_knn_mean8_dist,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
414,obs_knn_mean32_dist,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
415,obs_crowd_vector_x,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
416,obs_crowd_vector_y,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
417,obs_crowd_vector_norm,observation_state,observation quality and tracking-derived state,constructed from frames no later than issue frame t,eligible; variance filtering and quotas fit on training movies only
